D:\IMG\center_2021_03_17_09_04_46_898.jpg,D:\IMG\left_2021_03_17_09_04_46_898.jpg,D:\IMG\right_2021_03_17_09_04_46_898.jpg,0,0,0,2.29658E-06
D:\IMG\center_2021_03_17_09_04_46_970.jpg,D:\IMG\left_2021_03_17_09_04_46_970.jpg,D:\IMG\right_2021_03_17_09_04_46_970.jpg,0,0,0,2.862883E-06
D:\IMG\center_2021_03_17_09_04_47_039.jpg,D:\IMG\left_2021_03_17_09_04_47_039.jpg,D:\IMG\right_2021_03_17_09_04_47_039.jpg,0,0,0,1.430711E-06
D:\IMG\center_2021_03_17_09_04_47_112.jpg,D:\IMG\left_2021_03_17_09_04_47_112.jpg,D:\IMG\right_2021_03_17_09_04_47_112.jpg,0,0.1728111,0,0.0742905
D:\IMG\center_2021_03_17_09_04_47_180.jpg,D:\IMG\left_2021_03_17_09_04_47_180.jpg,D:\IMG\right_2021_03_17_09_04_47_180.jpg,0,0.3440898,0,0.2694627
D:\IMG\center_2021_03_17_09_04_47_249.jpg,D:\IMG\left_2021_03_17_09_04_47_249.jpg,D:\IMG\right_2021_03_17_09_04_47_249.jpg,0,0.5930769,0,0.722442
D:\IMG\center_2021_03_17_09_04_47_319.jpg,D:\IMG\left_2021_03_17_09_04_47_319.jpg,D:\IMG\right_2021_03_17_09_04_47_319.jpg,0,0.772678,0,1.268172
D:\IMG\center_2021_03_17_09_04_47_387.jpg,D:\IMG\left_2021_03_17_09_04_47_387.jpg,D:\IMG\right_2021_03_17_09_04_47_387.jpg,0,1,0,2.153276
D:\IMG\center_2021_03_17_09_04_47_456.jpg,D:\IMG\left_2021_03_17_09_04_47_456.jpg,D:\IMG\right_2021_03_17_09_04_47_456.jpg,0,1,0,2.866855
D:\IMG\center_2021_03_17_09_04_47_526.jpg,D:\IMG\left_2021_03_17_09_04_47_526.jpg,D:\IMG\right_2021_03_17_09_04_47_526.jpg,0,1,0,3.803782
D:\IMG\center_2021_03_17_09_04_47_599.jpg,D:\IMG\left_2021_03_17_09_04_47_599.jpg,D:\IMG\right_2021_03_17_09_04_47_599.jpg,0,1,0,4.506852
D:\IMG\center_2021_03_17_09_04_47_667.jpg,D:\IMG\left_2021_03_17_09_04_47_667.jpg,D:\IMG\right_2021_03_17_09_04_47_667.jpg,0,1,0,5.436324
D:\IMG\center_2021_03_17_09_04_47_737.jpg,D:\IMG\left_2021_03_17_09_04_47_737.jpg,D:\IMG\right_2021_03_17_09_04_47_737.jpg,0,1,0,6.128766
D:\IMG\center_2021_03_17_09_04_47_809.jpg,D:\IMG\left_2021_03_17_09_04_47_809.jpg,D:\IMG\right_2021_03_17_09_04_47_809.jpg,0,1,0,7.045748
D:\IMG\center_2021_03_17_09_04_47_884.jpg,D:\IMG\left_2021_03_17_09_04_47_884.jpg,D:\IMG\right_2021_03_17_09_04_47_884.jpg,0,1,0,7.955605
D:\IMG\center_2021_03_17_09_04_47_957.jpg,D:\IMG\left_2021_03_17_09_04_47_957.jpg,D:\IMG\right_2021_03_17_09_04_47_957.jpg,0,1,0,8.63335
D:\IMG\center_2021_03_17_09_04_48_023.jpg,D:\IMG\left_2021_03_17_09_04_48_023.jpg,D:\IMG\right_2021_03_17_09_04_48_023.jpg,0,1,0,9.530828
D:\IMG\center_2021_03_17_09_04_48_091.jpg,D:\IMG\left_2021_03_17_09_04_48_091.jpg,D:\IMG\right_2021_03_17_09_04_48_091.jpg,0,1,0,10.19931
D:\IMG\center_2021_03_17_09_04_48_161.jpg,D:\IMG\left_2021_03_17_09_04_48_161.jpg,D:\IMG\right_2021_03_17_09_04_48_161.jpg,0,1,0,11.08447
D:\IMG\center_2021_03_17_09_04_48_231.jpg,D:\IMG\left_2021_03_17_09_04_48_231.jpg,D:\IMG\right_2021_03_17_09_04_48_231.jpg,0,1,0,11.57954
D:\IMG\center_2021_03_17_09_04_48_300.jpg,D:\IMG\left_2021_03_17_09_04_48_300.jpg,D:\IMG\right_2021_03_17_09_04_48_300.jpg,0,1,0,12.43721
D:\IMG\center_2021_03_17_09_04_48_370.jpg,D:\IMG\left_2021_03_17_09_04_48_370.jpg,D:\IMG\right_2021_03_17_09_04_48_370.jpg,0,1,0,13.14505
D:\IMG\center_2021_03_17_09_04_48_444.jpg,D:\IMG\left_2021_03_17_09_04_48_444.jpg,D:\IMG\right_2021_03_17_09_04_48_444.jpg,0,1,0,14.24539
D:\IMG\center_2021_03_17_09_04_48_513.jpg,D:\IMG\left_2021_03_17_09_04_48_513.jpg,D:\IMG\right_2021_03_17_09_04_48_513.jpg,0,1,0,14.58354
D:\IMG\center_2021_03_17_09_04_48_582.jpg,D:\IMG\left_2021_03_17_09_04_48_582.jpg,D:\IMG\right_2021_03_17_09_04_48_582.jpg,0,1,0,15.4459
D:\IMG\center_2021_03_17_09_04_48_655.jpg,D:\IMG\left_2021_03_17_09_04_48_655.jpg,D:\IMG\right_2021_03_17_09_04_48_655.jpg,0,1,0,16.3682
D:\IMG\center_2021_03_17_09_04_48_722.jpg,D:\IMG\left_2021_03_17_09_04_48_722.jpg,D:\IMG\right_2021_03_17_09_04_48_722.jpg,0,1,0,17.19335
D:\IMG\center_2021_03_17_09_04_48_790.jpg,D:\IMG\left_2021_03_17_09_04_48_790.jpg,D:\IMG\right_2021_03_17_09_04_48_790.jpg,0,1,0,17.60951
D:\IMG\center_2021_03_17_09_04_48_858.jpg,D:\IMG\left_2021_03_17_09_04_48_858.jpg,D:\IMG\right_2021_03_17_09_04_48_858.jpg,0,1,0,18.41866
D:\IMG\center_2021_03_17_09_04_48_925.jpg,D:\IMG\left_2021_03_17_09_04_48_925.jpg,D:\IMG\right_2021_03_17_09_04_48_925.jpg,0,1,0,19.22659
D:\IMG\center_2021_03_17_09_04_48_993.jpg,D:\IMG\left_2021_03_17_09_04_48_993.jpg,D:\IMG\right_2021_03_17_09_04_48_993.jpg,0,1,0,19.70689
D:\IMG\center_2021_03_17_09_04_49_063.jpg,D:\IMG\left_2021_03_17_09_04_49_063.jpg,D:\IMG\right_2021_03_17_09_04_49_063.jpg,0,1,0,20.53167
D:\IMG\center_2021_03_17_09_04_49_134.jpg,D:\IMG\left_2021_03_17_09_04_49_134.jpg,D:\IMG\right_2021_03_17_09_04_49_134.jpg,0,1,0,21.21805
D:\IMG\center_2021_03_17_09_04_49_205.jpg,D:\IMG\left_2021_03_17_09_04_49_205.jpg,D:\IMG\right_2021_03_17_09_04_49_205.jpg,0,1,0,22.00307
D:\IMG\center_2021_03_17_09_04_49_278.jpg,D:\IMG\left_2021_03_17_09_04_49_278.jpg,D:\IMG\right_2021_03_17_09_04_49_278.jpg,0,1,0,22.55975
D:\IMG\center_2021_03_17_09_04_49_348.jpg,D:\IMG\left_2021_03_17_09_04_49_348.jpg,D:\IMG\right_2021_03_17_09_04_49_348.jpg,0,1,0,23.35391
D:\IMG\center_2021_03_17_09_04_49_415.jpg,D:\IMG\left_2021_03_17_09_04_49_415.jpg,D:\IMG\right_2021_03_17_09_04_49_415.jpg,0,1,0,23.94847
D:\IMG\center_2021_03_17_09_04_49_488.jpg,D:\IMG\left_2021_03_17_09_04_49_488.jpg,D:\IMG\right_2021_03_17_09_04_49_488.jpg,0,1,0,24.72114
D:\IMG\center_2021_03_17_09_04_49_557.jpg,D:\IMG\left_2021_03_17_09_04_49_557.jpg,D:\IMG\right_2021_03_17_09_04_49_557.jpg,0,1,0,25.29703
D:\IMG\center_2021_03_17_09_04_49_625.jpg,D:\IMG\left_2021_03_17_09_04_49_625.jpg,D:\IMG\right_2021_03_17_09_04_49_625.jpg,0,1,0,26.06111
D:\IMG\center_2021_03_17_09_04_49_696.jpg,D:\IMG\left_2021_03_17_09_04_49_696.jpg,D:\IMG\right_2021_03_17_09_04_49_696.jpg,0,1,0,26.63003
D:\IMG\center_2021_03_17_09_04_49_764.jpg,D:\IMG\left_2021_03_17_09_04_49_764.jpg,D:\IMG\right_2021_03_17_09_04_49_764.jpg,0,1,0,27.38315
D:\IMG\center_2021_03_17_09_04_49_838.jpg,D:\IMG\left_2021_03_17_09_04_49_838.jpg,D:\IMG\right_2021_03_17_09_04_49_838.jpg,0,1,0,27.94401
